CMDLINE E:\Phis-shield-res\.env\Scripts\python.exe app.py
MEM 3.539062 1745597730.9141
MEM 3.539062 1745597731.0257
MEM 3.539062 1745597731.1373
MEM 3.539062 1745597731.2478
MEM 3.539062 1745597731.3570
MEM 3.539062 1745597731.4670
MEM 3.539062 1745597731.5755
MEM 3.539062 1745597731.6856
MEM 3.539062 1745597731.7953
MEM 3.539062 1745597731.9048
MEM 3.539062 1745597732.0149
MEM 3.539062 1745597732.1278
MEM 3.539062 1745597732.2358
MEM 3.539062 1745597732.3468
MEM 3.539062 1745597732.4577
MEM 3.539062 1745597732.5690
MEM 3.539062 1745597732.6799
MEM 3.539062 1745597732.7903
MEM 3.539062 1745597732.9000
MEM 3.539062 1745597733.0102
MEM 3.539062 1745597733.1206
MEM 3.539062 1745597733.2320
MEM 3.539062 1745597733.3430
MEM 3.539062 1745597733.4550
MEM 3.539062 1745597733.5670
MEM 3.539062 1745597733.6779
MEM 3.539062 1745597733.7898
MEM 3.539062 1745597733.9008
MEM 3.539062 1745597734.0118
MEM 3.539062 1745597734.1232
MEM 3.539062 1745597734.2351
MEM 3.539062 1745597734.3482
MEM 3.539062 1745597734.4572
MEM 3.539062 1745597734.5680
MEM 3.539062 1745597734.6791
MEM 3.539062 1745597734.7878
MEM 3.539062 1745597734.8988
MEM 3.539062 1745597735.0089
MEM 3.539062 1745597735.1207
MEM 3.539062 1745597735.2327
MEM 3.539062 1745597735.3447
MEM 3.539062 1745597735.4560
MEM 3.539062 1745597735.5670
MEM 3.539062 1745597735.6764
MEM 3.539062 1745597735.7868
MEM 3.539062 1745597735.8986
MEM 3.539062 1745597736.0106
MEM 3.539062 1745597736.1210
MEM 3.539062 1745597736.2315
MEM 3.539062 1745597736.3416
MEM 3.539062 1745597736.4532
MEM 3.539062 1745597736.5633
MEM 3.539062 1745597736.6734
MEM 3.539062 1745597736.7842
MEM 3.539062 1745597736.8941
MEM 3.539062 1745597737.0061
MEM 3.539062 1745597737.1177
MEM 3.539062 1745597737.2286
MEM 3.539062 1745597737.3394
MEM 3.539062 1745597737.4503
MEM 3.539062 1745597737.5611
MEM 3.539062 1745597737.6730
MEM 3.539062 1745597737.7843
MEM 3.539062 1745597737.8940
MEM 3.539062 1745597738.0052
MEM 3.539062 1745597738.1156
MEM 3.539062 1745597738.2266
MEM 3.539062 1745597738.3362
MEM 3.539062 1745597738.4476
MEM 3.539062 1745597738.5583
MEM 3.539062 1745597738.6703
MEM 3.539062 1745597738.7823
MEM 3.539062 1745597738.8927
MEM 3.539062 1745597739.0037
MEM 3.539062 1745597739.1137
MEM 3.539062 1745597739.2243
MEM 3.539062 1745597739.3336
MEM 3.539062 1745597739.4441
MEM 3.539062 1745597739.5546
MEM 3.539062 1745597739.6649
MEM 3.539062 1745597739.7752
MEM 3.539062 1745597739.8852
MEM 3.539062 1745597739.9957
MEM 3.539062 1745597740.1047
MEM 3.539062 1745597740.2146
MEM 3.539062 1745597740.3257
MEM 3.539062 1745597740.4355
MEM 3.539062 1745597740.5445
MEM 3.539062 1745597740.6529
MEM 3.539062 1745597740.7641
MEM 3.539062 1745597740.8743
MEM 3.539062 1745597740.9829
MEM 3.539062 1745597741.0923
MEM 3.539062 1745597741.2010
MEM 3.539062 1745597741.3091
MEM 3.539062 1745597741.4188
MEM 3.539062 1745597741.5286
MEM 3.539062 1745597741.6405
MEM 3.539062 1745597741.7516
MEM 3.539062 1745597741.8631
MEM 3.539062 1745597741.9738
MEM 3.539062 1745597742.0846
MEM 3.539062 1745597742.1952
MEM 3.539062 1745597742.3057
MEM 3.539062 1745597742.4146
MEM 3.539062 1745597742.5253
MEM 3.539062 1745597742.6347
MEM 3.539062 1745597742.7447
MEM 3.539062 1745597742.8581
MEM 3.539062 1745597742.9659
MEM 3.539062 1745597743.0779
MEM 3.539062 1745597743.1879
MEM 3.539062 1745597743.2976
MEM 3.539062 1745597743.4052
MEM 3.539062 1745597743.5166
MEM 3.539062 1745597743.6289
MEM 3.539062 1745597743.7374
MEM 3.539062 1745597743.8488
MEM 3.539062 1745597743.9577
MEM 3.539062 1745597744.0684
MEM 3.539062 1745597744.1789
MEM 3.539062 1745597744.2901
MEM 3.539062 1745597744.3992
MEM 3.539062 1745597744.5079
MEM 3.539062 1745597744.6176
MEM 3.539062 1745597744.7283
MEM 3.539062 1745597744.8385
MEM 3.539062 1745597744.9505
MEM 3.539062 1745597745.0608
MEM 3.539062 1745597745.1699
MEM 3.539062 1745597745.2802
MEM 3.539062 1745597745.3926
MEM 3.539062 1745597745.5035
MEM 3.539062 1745597745.6139
MEM 3.539062 1745597745.7248
MEM 3.539062 1745597745.8355
MEM 3.539062 1745597745.9454
MEM 3.539062 1745597746.0554
MEM 3.539062 1745597746.1673
MEM 3.539062 1745597746.2788
MEM 3.539062 1745597746.3887
MEM 3.539062 1745597746.4997
MEM 3.539062 1745597746.6109
MEM 3.539062 1745597746.7204
MEM 3.539062 1745597746.8308
MEM 3.539062 1745597746.9423
MEM 3.539062 1745597747.0518
MEM 3.539062 1745597747.1638
MEM 3.539062 1745597747.2757
MEM 3.539062 1745597747.3855
MEM 3.539062 1745597747.4972
MEM 3.539062 1745597747.6092
MEM 3.539062 1745597747.7201
MEM 3.539062 1745597747.8321
MEM 3.539062 1745597747.9441
MEM 3.539062 1745597748.0556
MEM 3.539062 1745597748.1672
MEM 3.539062 1745597748.2780
MEM 3.539062 1745597748.3888
MEM 3.539062 1745597748.5000
MEM 3.539062 1745597748.6093
MEM 3.539062 1745597748.7195
MEM 3.539062 1745597748.8303
MEM 3.539062 1745597748.9411
MEM 3.539062 1745597749.0514
MEM 3.539062 1745597749.1615
MEM 3.539062 1745597749.2725
MEM 3.539062 1745597749.3845
MEM 3.539062 1745597749.4955
MEM 3.539062 1745597749.6075
MEM 3.539062 1745597749.7185
MEM 3.539062 1745597749.8293
MEM 3.539062 1745597749.9405
MEM 3.539062 1745597750.0510
MEM 3.539062 1745597750.1616
MEM 3.539062 1745597750.2718
MEM 3.539062 1745597750.3813
MEM 3.539062 1745597750.4919
MEM 3.539062 1745597750.6023
MEM 3.539062 1745597750.7140
MEM 3.539062 1745597750.8235
MEM 3.539062 1745597750.9333
MEM 3.539062 1745597751.0420
MEM 3.539062 1745597751.1531
MEM 3.539062 1745597751.2631
MEM 3.539062 1745597751.3733
MEM 3.539062 1745597751.4851
MEM 3.539062 1745597751.5961
MEM 3.539062 1745597751.7043
MEM 3.539062 1745597751.8164
MEM 3.539062 1745597751.9273
MEM 3.539062 1745597752.0384
MEM 3.539062 1745597752.1502
MEM 3.539062 1745597752.2613
MEM 3.539062 1745597752.3733
MEM 3.539062 1745597752.4843
MEM 3.539062 1745597752.5962
MEM 3.539062 1745597752.7066
MEM 3.539062 1745597752.8176
MEM 3.515625 1745597752.9285
MEM 3.515625 1745597753.0374
MEM 3.515625 1745597753.1490
MEM 3.515625 1745597753.2600
MEM 3.515625 1745597753.3720
MEM 3.515625 1745597753.4805
MEM 3.515625 1745597753.5902
MEM 3.515625 1745597753.7007
MEM 3.515625 1745597753.8118
MEM 3.515625 1745597753.9785
MEM 3.515625 1745597754.0819
MEM 3.515625 1745597754.1938
MEM 3.515625 1745597754.3058
MEM 3.515625 1745597754.4178
MEM 3.515625 1745597754.5288
MEM 3.515625 1745597754.6398
MEM 3.515625 1745597754.7509
MEM 3.515625 1745597754.8620
MEM 3.515625 1745597754.9730
MEM 3.515625 1745597755.0823
MEM 3.515625 1745597755.1918
MEM 3.515625 1745597755.2997
MEM 3.515625 1745597755.4098
MEM 3.515625 1745597755.5197
MEM 3.515625 1745597755.6298
MEM 3.515625 1745597755.7376
MEM 3.515625 1745597755.8485
MEM 3.515625 1745597755.9583
MEM 3.515625 1745597756.0677
MEM 3.515625 1745597756.1785
MEM 3.515625 1745597756.2891
MEM 3.515625 1745597756.3981
MEM 3.515625 1745597756.5086
MEM 3.515625 1745597756.6203
MEM 3.515625 1745597756.7293
MEM 3.515625 1745597756.8383
MEM 3.515625 1745597756.9503
MEM 3.515625 1745597757.0613
MEM 3.515625 1745597757.1703
MEM 3.515625 1745597757.2813
MEM 3.515625 1745597757.3933
MEM 3.515625 1745597757.5053
MEM 3.515625 1745597757.6163
MEM 3.515625 1745597757.7273
MEM 3.515625 1745597757.8375
MEM 3.515625 1745597757.9473
MEM 3.515625 1745597758.0580
MEM 3.515625 1745597758.1685
MEM 3.515625 1745597758.2789
MEM 3.515625 1745597758.3887
MEM 3.515625 1745597758.4989
MEM 3.515625 1745597758.6254
MEM 3.515625 1745597758.7380
MEM 3.515625 1745597758.8487
MEM 3.515625 1745597758.9579
MEM 3.515625 1745597759.0679
MEM 3.515625 1745597759.1775
MEM 3.515625 1745597759.2865
MEM 3.515625 1745597759.3966
MEM 3.515625 1745597759.5072
MEM 3.515625 1745597759.6182
MEM 3.515625 1745597759.7291
MEM 3.515625 1745597759.8412
MEM 3.515625 1745597759.9529
MEM 3.515625 1745597760.0629
MEM 3.515625 1745597760.1749
MEM 3.515625 1745597760.2858
MEM 3.515625 1745597760.3968
MEM 3.515625 1745597760.5088
MEM 3.515625 1745597760.6208
MEM 3.515625 1745597760.7328
MEM 3.515625 1745597760.8438
MEM 3.515625 1745597760.9558
MEM 3.515625 1745597761.0678
MEM 3.515625 1745597761.1778
MEM 3.515625 1745597761.2897
MEM 3.515625 1745597761.4016
MEM 3.515625 1745597761.5123
MEM 3.515625 1745597761.6207
MEM 3.515625 1745597761.7330
MEM 3.515625 1745597761.8420
MEM 3.515625 1745597761.9532
MEM 3.515625 1745597762.0605
MEM 3.515625 1745597762.1708
MEM 3.515625 1745597762.2820
MEM 3.515625 1745597762.3925
MEM 3.515625 1745597762.5012
MEM 3.515625 1745597762.6095
MEM 3.515625 1745597762.7185
MEM 3.515625 1745597762.8272
MEM 3.515625 1745597762.9362
MEM 3.515625 1745597763.0453
MEM 3.515625 1745597763.1535
MEM 3.515625 1745597763.2623
MEM 3.515625 1745597763.3732
MEM 3.515625 1745597763.4840
MEM 3.515625 1745597763.5954
MEM 3.515625 1745597763.7026
MEM 3.515625 1745597763.8147
MEM 3.515625 1745597763.9256
MEM 3.515625 1745597764.0563
MEM 3.515625 1745597764.1643
MEM 3.515625 1745597764.2753
MEM 3.515625 1745597764.3873
MEM 3.515625 1745597764.4983
MEM 3.515625 1745597764.6088
MEM 3.515625 1745597764.7201
MEM 3.515625 1745597764.8302
MEM 3.515625 1745597764.9391
MEM 3.515625 1745597765.0497
MEM 3.515625 1745597765.1593
MEM 3.515625 1745597765.2685
MEM 3.515625 1745597765.3783
MEM 3.515625 1745597765.4899
MEM 3.515625 1745597765.5999
MEM 3.515625 1745597765.7119
MEM 3.515625 1745597765.8213
MEM 3.515625 1745597765.9317
MEM 3.515625 1745597766.0425
MEM 3.515625 1745597766.1508
MEM 3.515625 1745597766.2647
MEM 3.515625 1745597766.3711
MEM 3.515625 1745597766.4810
MEM 3.515625 1745597766.5940
MEM 3.515625 1745597766.7015
MEM 3.515625 1745597766.8108
MEM 3.515625 1745597766.9229
MEM 3.515625 1745597767.0330
MEM 3.515625 1745597767.1438
MEM 3.515625 1745597767.2534
MEM 3.515625 1745597767.3616
MEM 3.515625 1745597767.4706
MEM 3.515625 1745597767.5860
MEM 3.515625 1745597767.6912
MEM 3.515625 1745597767.8021
MEM 3.515625 1745597767.9111
MEM 3.515625 1745597768.0198
MEM 3.515625 1745597768.1289
MEM 3.515625 1745597768.2377
MEM 3.515625 1745597768.3467
MEM 3.515625 1745597768.4572
MEM 3.515625 1745597768.5667
MEM 3.515625 1745597768.6753
MEM 3.515625 1745597768.7864
MEM 3.515625 1745597768.8951
MEM 3.515625 1745597769.0048
MEM 3.515625 1745597769.1168
MEM 3.515625 1745597769.2266
MEM 3.515625 1745597769.3366
MEM 3.515625 1745597769.4481
MEM 3.515625 1745597769.5591
MEM 3.515625 1745597769.6685
MEM 3.515625 1745597769.7788
MEM 3.515625 1745597769.8896
MEM 3.515625 1745597769.9988
MEM 3.515625 1745597770.1086
MEM 3.515625 1745597770.2196
MEM 3.515625 1745597770.3309
MEM 3.515625 1745597770.4398
MEM 3.515625 1745597770.5512
MEM 3.515625 1745597770.6627
MEM 3.515625 1745597770.7739
MEM 3.515625 1745597770.8849
MEM 3.515625 1745597770.9951
MEM 3.515625 1745597771.1059
MEM 3.515625 1745597771.2175
MEM 3.515625 1745597771.3255
MEM 3.515625 1745597771.4368
MEM 3.515625 1745597771.5488
MEM 3.515625 1745597771.6608
MEM 3.515625 1745597771.7698
MEM 3.515625 1745597771.8818
MEM 3.515625 1745597771.9938
MEM 3.515625 1745597772.1029
MEM 3.515625 1745597772.2143
MEM 3.515625 1745597772.3240
MEM 3.515625 1745597772.4340
MEM 3.515625 1745597772.5437
MEM 3.515625 1745597772.6540
MEM 3.515625 1745597772.7649
MEM 3.515625 1745597772.8769
MEM 3.515625 1745597772.9867
MEM 3.515625 1745597773.0987
MEM 3.515625 1745597773.2093
MEM 3.515625 1745597773.3190
MEM 3.515625 1745597773.4290
MEM 3.515625 1745597773.5392
MEM 3.515625 1745597773.6482
MEM 3.515625 1745597773.7564
MEM 3.515625 1745597773.8657
MEM 3.515625 1745597773.9776
MEM 3.515625 1745597774.0860
MEM 3.515625 1745597774.1969
MEM 3.515625 1745597774.3083
MEM 3.515625 1745597774.4190
MEM 3.515625 1745597774.5289
MEM 3.515625 1745597774.6384
MEM 3.515625 1745597774.7481
MEM 3.515625 1745597774.8586
MEM 3.515625 1745597774.9676
MEM 3.515625 1745597775.0777
MEM 3.515625 1745597775.1864
MEM 3.515625 1745597775.2953
MEM 3.515625 1745597775.4061
MEM 3.515625 1745597775.5157
MEM 3.515625 1745597775.6250
MEM 3.515625 1745597775.7337
MEM 3.515625 1745597775.8460
MEM 3.515625 1745597775.9550
MEM 3.515625 1745597776.0660
MEM 3.515625 1745597776.1768
MEM 3.515625 1745597776.2857
MEM 3.515625 1745597776.3954
MEM 3.515625 1745597776.5064
MEM 3.515625 1745597776.6184
MEM 3.515625 1745597776.7304
MEM 3.515625 1745597776.8409
MEM 3.515625 1745597776.9513
MEM 3.515625 1745597777.0621
MEM 3.515625 1745597777.1722
MEM 3.515625 1745597777.2827
MEM 3.515625 1745597777.3930
MEM 3.515625 1745597777.5037
MEM 3.515625 1745597777.6152
MEM 3.515625 1745597777.7242
MEM 3.515625 1745597777.8344
MEM 3.515625 1745597777.9574
MEM 3.515625 1745597778.0714
MEM 3.515625 1745597778.1824
MEM 3.515625 1745597778.2954
MEM 3.515625 1745597778.4046
MEM 3.515625 1745597778.5133
MEM 3.515625 1745597778.6231
MEM 3.515625 1745597778.7343
MEM 3.515625 1745597778.8434
MEM 3.515625 1745597778.9496
MEM 3.515625 1745597779.0603
MEM 3.515625 1745597779.1703
MEM 3.515625 1745597779.2814
MEM 3.515625 1745597779.3894
MEM 3.515625 1745597779.5005
MEM 3.515625 1745597779.6107
MEM 3.515625 1745597779.7219
MEM 3.515625 1745597779.8321
MEM 3.515625 1745597779.9416
MEM 3.515625 1745597780.0528
MEM 3.515625 1745597780.1636
MEM 3.515625 1745597780.2725
MEM 3.515625 1745597780.3811
MEM 3.515625 1745597780.4899
MEM 3.515625 1745597780.6005
MEM 3.515625 1745597780.7107
MEM 3.515625 1745597780.8183
MEM 3.515625 1745597780.9277
MEM 3.515625 1745597781.0381
MEM 3.515625 1745597781.1477
MEM 3.515625 1745597781.2580
MEM 3.515625 1745597781.3682
MEM 3.515625 1745597781.4777
MEM 3.515625 1745597781.5873
MEM 3.515625 1745597781.6959
MEM 3.515625 1745597781.8060
MEM 3.515625 1745597781.9189
MEM 3.515625 1745597782.0289
MEM 3.515625 1745597782.1384
MEM 3.515625 1745597782.2469
MEM 3.515625 1745597782.3593
MEM 3.515625 1745597782.4658
MEM 3.515625 1745597782.5744
MEM 3.515625 1745597782.6834
MEM 3.515625 1745597782.7936
MEM 3.515625 1745597782.9028
MEM 3.515625 1745597783.0116
MEM 3.515625 1745597783.1199
MEM 3.515625 1745597783.2298
MEM 3.515625 1745597783.3384
MEM 3.515625 1745597783.4478
MEM 3.515625 1745597783.5563
MEM 3.515625 1745597783.6661
MEM 3.515625 1745597783.7766
MEM 3.515625 1745597783.8867
MEM 3.515625 1745597783.9943
MEM 3.515625 1745597784.1033
MEM 3.515625 1745597784.2125
MEM 3.515625 1745597784.3229
MEM 3.515625 1745597784.4331
MEM 3.515625 1745597784.5424
MEM 3.515625 1745597784.6520
MEM 3.515625 1745597784.7625
MEM 3.515625 1745597784.8735
MEM 3.515625 1745597784.9816
MEM 3.515625 1745597785.0929
MEM 3.515625 1745597785.2019
MEM 3.515625 1745597785.3139
MEM 3.515625 1745597785.4249
MEM 3.515625 1745597785.5348
MEM 3.515625 1745597785.6468
MEM 3.515625 1745597785.7567
MEM 3.515625 1745597785.8677
MEM 3.515625 1745597785.9780
MEM 3.515625 1745597786.0857
MEM 3.515625 1745597786.1972
MEM 3.515625 1745597786.3074
MEM 3.515625 1745597786.4187
MEM 3.515625 1745597786.5301
MEM 3.515625 1745597786.6459
MEM 3.515625 1745597786.7486
MEM 3.515625 1745597786.8582
MEM 3.515625 1745597786.9679
MEM 3.515625 1745597787.0785
MEM 3.515625 1745597787.1900
MEM 3.515625 1745597787.3003
MEM 3.515625 1745597787.4123
MEM 3.515625 1745597787.5243
MEM 3.515625 1745597787.6363
MEM 3.515625 1745597787.7481
MEM 3.515625 1745597787.8584
MEM 3.515625 1745597787.9673
MEM 3.515625 1745597788.0771
MEM 3.515625 1745597788.1848
MEM 3.515625 1745597788.2968
MEM 3.515625 1745597788.4088
MEM 3.515625 1745597788.5205
MEM 3.515625 1745597788.6325
MEM 3.515625 1745597788.7435
MEM 3.515625 1745597788.8536
MEM 3.515625 1745597788.9628
MEM 3.515625 1745597789.0734
MEM 3.515625 1745597789.1844
MEM 3.515625 1745597789.2931
MEM 3.515625 1745597789.4044
MEM 3.515625 1745597789.5135
MEM 3.515625 1745597789.6239
MEM 3.515625 1745597789.7340
MEM 3.515625 1745597789.8442
MEM 3.515625 1745597789.9535
MEM 3.515625 1745597790.0609
MEM 3.515625 1745597790.1724
MEM 3.515625 1745597790.2818
MEM 3.515625 1745597790.3904
MEM 3.515625 1745597790.4998
MEM 3.515625 1745597790.6111
MEM 3.515625 1745597790.7205
MEM 3.515625 1745597790.8302
MEM 3.515625 1745597790.9394
MEM 3.515625 1745597791.0500
MEM 3.515625 1745597791.1595
MEM 3.515625 1745597791.2679
MEM 3.515625 1745597791.3775
MEM 3.515625 1745597791.4882
MEM 3.515625 1745597791.5969
MEM 3.515625 1745597791.7062
MEM 3.515625 1745597791.8147
MEM 3.515625 1745597791.9234
MEM 3.515625 1745597792.0319
MEM 3.515625 1745597792.1415
MEM 3.515625 1745597792.2497
MEM 3.515625 1745597792.3599
MEM 3.515625 1745597792.4712
MEM 3.515625 1745597792.5781
MEM 3.515625 1745597792.6875
MEM 3.515625 1745597792.7971
MEM 3.515625 1745597792.9084
MEM 3.515625 1745597793.0194
MEM 3.515625 1745597793.1263
MEM 3.515625 1745597793.2354
MEM 3.515625 1745597793.3430
MEM 3.515625 1745597793.4506
MEM 3.515625 1745597793.5614
MEM 3.515625 1745597793.6696
MEM 3.515625 1745597793.7783
MEM 3.515625 1745597793.8873
MEM 3.515625 1745597793.9965
MEM 3.515625 1745597794.1071
MEM 3.515625 1745597794.2263
MEM 3.515625 1745597794.3273
MEM 3.515625 1745597794.4362
MEM 3.515625 1745597794.5453
MEM 3.515625 1745597794.6542
MEM 3.515625 1745597794.7626
MEM 3.515625 1745597794.8738
MEM 3.515625 1745597794.9833
MEM 3.515625 1745597795.0910
MEM 3.515625 1745597795.2002
MEM 3.515625 1745597795.3103
MEM 3.515625 1745597795.4195
MEM 3.515625 1745597795.5319
MEM 3.515625 1745597795.6409
MEM 3.515625 1745597795.7507
MEM 3.515625 1745597795.8602
MEM 3.515625 1745597795.9684
MEM 3.515625 1745597796.0791
MEM 3.515625 1745597796.1892
MEM 3.515625 1745597796.2988
MEM 3.515625 1745597796.4082
MEM 3.515625 1745597796.5185
MEM 3.515625 1745597796.6283
MEM 3.515625 1745597796.7390
MEM 3.515625 1745597796.8491
MEM 3.515625 1745597796.9583
MEM 3.515625 1745597797.0682
MEM 3.515625 1745597797.1819
MEM 3.515625 1745597797.2888
MEM 3.515625 1745597797.3978
MEM 3.515625 1745597797.5064
MEM 3.515625 1745597797.6150
MEM 3.515625 1745597797.7251
MEM 3.515625 1745597797.8341
MEM 3.515625 1745597797.9458
MEM 3.515625 1745597798.0549
MEM 3.515625 1745597798.1637
MEM 3.515625 1745597798.2739
MEM 3.515625 1745597798.3817
MEM 3.515625 1745597798.4925
MEM 3.515625 1745597798.5998
MEM 3.515625 1745597798.7095
MEM 3.515625 1745597798.8176
MEM 3.515625 1745597798.9271
MEM 3.515625 1745597799.0351
MEM 3.515625 1745597799.1442
MEM 3.515625 1745597799.2528
MEM 3.515625 1745597799.3608
MEM 3.515625 1745597799.4685
MEM 3.515625 1745597799.5777
MEM 3.515625 1745597799.6865
MEM 3.515625 1745597799.7958
MEM 3.515625 1745597799.9060
MEM 3.515625 1745597800.0151
MEM 3.515625 1745597800.1251
MEM 3.515625 1745597800.2336
MEM 3.515625 1745597800.3432
MEM 3.515625 1745597800.4517
MEM 3.515625 1745597800.5610
MEM 3.515625 1745597800.6722
MEM 3.515625 1745597800.7825
MEM 3.515625 1745597800.8915
MEM 3.515625 1745597801.0314
MEM 3.515625 1745597801.1424
MEM 3.515625 1745597801.2526
MEM 3.515625 1745597801.3623
MEM 3.515625 1745597801.4700
MEM 3.515625 1745597801.5785
MEM 3.515625 1745597801.6885
MEM 3.515625 1745597801.7976
MEM 3.515625 1745597801.9082
MEM 3.515625 1745597802.0180
MEM 3.515625 1745597802.1288
MEM 3.515625 1745597802.2382
MEM 3.515625 1745597802.3456
MEM 3.515625 1745597802.4560
MEM 3.515625 1745597802.5646
MEM 3.515625 1745597802.6741
MEM 3.515625 1745597802.7829
MEM 3.515625 1745597802.8928
MEM 3.515625 1745597803.0134
MEM 3.515625 1745597803.1273
MEM 3.515625 1745597803.2368
MEM 3.515625 1745597803.3463
MEM 3.515625 1745597803.4568
MEM 3.515625 1745597803.5656
MEM 3.515625 1745597803.6755
MEM 3.515625 1745597803.7844
MEM 3.515625 1745597803.8934
MEM 3.515625 1745597804.0027
MEM 3.515625 1745597804.1096
MEM 3.515625 1745597804.2188
MEM 3.515625 1745597804.3278
MEM 3.515625 1745597804.4368
MEM 3.515625 1745597804.5455
MEM 3.515625 1745597804.6551
MEM 3.515625 1745597804.7656
MEM 3.515625 1745597804.8739
MEM 3.515625 1745597804.9823
MEM 3.515625 1745597805.0947
MEM 3.515625 1745597805.2018
MEM 3.515625 1745597805.3107
MEM 3.515625 1745597805.4199
MEM 3.515625 1745597805.5287
MEM 3.515625 1745597805.6394
MEM 3.515625 1745597805.7492
MEM 3.515625 1745597805.8574
MEM 3.515625 1745597805.9688
MEM 3.515625 1745597806.0768
MEM 3.515625 1745597806.1861
MEM 3.515625 1745597806.2963
MEM 3.515625 1745597806.4053
MEM 3.515625 1745597806.5142
MEM 3.515625 1745597806.6259
MEM 3.515625 1745597806.7335
MEM 3.515625 1745597806.8435
MEM 3.515625 1745597806.9526
MEM 3.515625 1745597807.0623
MEM 3.515625 1745597807.1721
MEM 3.515625 1745597807.2800
MEM 3.515625 1745597807.3880
MEM 3.515625 1745597807.4982
MEM 3.515625 1745597807.6077
MEM 3.515625 1745597807.7170
MEM 3.515625 1745597807.8278
MEM 3.515625 1745597807.9367
MEM 3.515625 1745597808.0461
MEM 3.515625 1745597808.1568
MEM 3.515625 1745597808.2668
MEM 3.515625 1745597808.3778
MEM 3.515625 1745597808.4875
MEM 3.515625 1745597808.5995
MEM 3.515625 1745597808.7130
MEM 3.515625 1745597808.8211
MEM 3.515625 1745597808.9305
MEM 3.515625 1745597809.0388
MEM 3.515625 1745597809.1474
MEM 3.515625 1745597809.2564
MEM 3.515625 1745597809.3669
MEM 3.515625 1745597809.4778
MEM 3.515625 1745597809.5899
MEM 3.515625 1745597809.7009
MEM 3.515625 1745597809.8128
MEM 3.515625 1745597809.9249
MEM 3.515625 1745597810.0369
MEM 3.515625 1745597810.1489
MEM 3.515625 1745597810.2602
MEM 3.515625 1745597810.3732
MEM 3.515625 1745597810.4836
MEM 3.515625 1745597810.5956
MEM 3.515625 1745597810.7065
MEM 3.515625 1745597810.8185
MEM 3.515625 1745597810.9306
MEM 3.515625 1745597811.0410
MEM 3.515625 1745597811.1520
MEM 3.515625 1745597811.2631
MEM 3.515625 1745597811.3750
MEM 3.515625 1745597811.4871
MEM 3.515625 1745597811.5970
MEM 3.515625 1745597811.7066
MEM 3.515625 1745597811.8179
MEM 3.515625 1745597811.9280
MEM 3.515625 1745597812.0366
MEM 3.515625 1745597812.1461
MEM 3.515625 1745597812.2561
MEM 3.515625 1745597812.3649
MEM 3.515625 1745597812.4775
MEM 3.515625 1745597812.5870
MEM 3.515625 1745597812.6981
MEM 3.515625 1745597812.8083
MEM 3.515625 1745597812.9183
MEM 3.515625 1745597813.0271
MEM 3.515625 1745597813.1378
